Date,Open,High,Low,Close,Adj Close,Volume
2016-11-09,3.488600,3.600200,3.479600,3.488800,3.488800,0
2016-11-10,3.526900,3.679400,3.495700,3.527100,3.527100,0
2016-11-11,3.693700,3.792500,3.677400,3.695300,3.695300,0
2016-11-14,3.723800,3.733400,3.633400,3.723800,3.723800,0
2016-11-15,3.693500,3.714400,3.682400,3.695600,3.695600,0
2016-11-16,3.688000,3.702100,3.630500,3.687900,3.687900,0
2016-11-17,3.690100,3.701000,3.619900,3.691900,3.691900,0
2016-11-18,3.646400,3.652500,3.569700,3.643000,3.643000,0
2016-11-21,3.601500,3.601500,3.540400,3.579000,3.579000,0
2016-11-22,3.600900,3.604900,3.524700,3.600500,3.600500,0
2016-11-23,3.572600,3.603100,3.552800,3.574100,3.574100,0
2016-11-24,3.613700,3.631800,3.568300,3.615300,3.615300,0
2016-11-25,3.576300,3.666100,3.571400,3.577900,3.577900,0
2016-11-28,3.619100,3.647900,3.577200,3.620600,3.620600,0
2016-11-29,3.614600,3.616800,3.578600,3.616200,3.616200,0
2016-11-30,3.675000,3.678700,3.583900,3.675400,3.675400,0
2016-12-01,3.605200,3.681200,3.589500,3.604000,3.604000,0
2016-12-02,3.810700,3.816200,3.670100,3.809000,3.809000,0
2016-12-05,3.703000,3.706900,3.669600,3.703000,3.703000,0
2016-12-06,3.677500,3.726600,3.670300,3.675900,3.675900,0
2016-12-07,3.648500,3.653500,3.608700,3.649000,3.649000,0
2016-12-08,3.636400,3.690700,3.589200,3.635100,3.635100,0
2016-12-09,3.581600,3.596700,3.531300,3.579900,3.579900,0
2016-12-12,3.565000,3.612300,3.539800,3.565200,3.565200,0
2016-12-13,3.550100,3.564300,3.524900,3.548600,3.548600,0
2016-12-14,3.541500,3.558400,3.509800,3.540800,3.540800,0
2016-12-15,3.536700,3.552700,3.509800,3.539900,3.539900,0
2016-12-16,3.504800,3.543600,3.477000,3.506300,3.506300,0
2016-12-19,3.477000,3.548300,3.477000,3.541000,3.541000,0
2016-12-20,3.496400,3.503100,3.455000,3.496600,3.496600,0
2016-12-21,3.483000,3.491500,3.455000,3.481300,3.481300,0
2016-12-22,3.466100,3.499500,3.445700,3.464400,3.464400,0
2016-12-23,3.427200,3.435200,3.398400,3.428000,3.428000,0
2016-12-26,3.399000,3.399000,3.399000,3.416000,3.416000,0
2016-12-27,3.416000,3.431100,3.413500,3.416000,3.416000,0
2016-12-28,3.417800,3.423600,3.384300,3.416900,3.416900,0
2016-12-29,3.419800,3.438300,3.384300,3.418100,3.418100,0
2016-12-30,3.434400,3.443100,3.411800,3.438700,3.438700,0
2017-01-02,3.419000,3.431000,3.402900,3.419000,3.419000,0
2017-01-03,3.433800,3.442700,3.364200,3.432000,3.432000,0
2017-01-04,3.397600,3.406100,3.361500,3.397600,3.397600,0
2017-01-05,3.373700,3.397400,3.341900,3.373200,3.373200,0
2017-01-06,3.386700,3.401600,3.365900,3.389700,3.389700,0
2017-01-09,3.391400,3.398300,3.366100,3.391400,3.391400,0
2017-01-10,3.382600,3.392400,3.355200,3.380700,3.380700,0
2017-01-11,3.369600,3.383800,3.352200,3.368600,3.368600,0
2017-01-12,3.382000,3.405000,3.346100,3.383600,3.383600,0
2017-01-13,3.378700,3.414700,3.376600,3.379600,3.379600,0
2017-01-16,3.424400,3.424400,3.387200,3.424400,3.424400,0
2017-01-17,3.435100,3.459100,3.416700,3.433600,3.433600,0
2017-01-18,3.431500,3.445400,3.406100,3.430900,3.430900,0
2017-01-19,3.431400,3.443000,3.391200,3.429500,3.429500,0
2017-01-20,3.403900,3.413700,3.371800,3.402400,3.402400,0
2017-01-23,3.371800,3.403900,3.369400,3.371800,3.371800,0
2017-01-24,3.398400,3.403000,3.375300,3.400200,3.400200,0
2017-01-25,3.395900,3.409800,3.375300,3.396800,3.396800,0
2017-01-26,3.405900,3.408400,3.383700,3.404100,3.404100,0
2017-01-27,3.390700,3.395200,3.363100,3.391400,3.391400,0
2017-01-30,3.355600,3.367900,3.317000,3.363100,3.363100,0
2017-01-31,3.342400,3.394300,3.321800,3.344100,3.344100,0
2017-02-01,3.399300,3.400600,3.381700,3.400900,3.400900,0
2017-02-02,3.367300,3.380900,3.350700,3.365700,3.365700,0
2017-02-03,3.350700,3.366400,3.337500,3.356200,3.356200,0
2017-02-06,3.358700,3.358700,3.316700,3.358700,3.358700,0
2017-02-07,3.344300,3.344300,3.316700,3.342600,3.342600,0
2017-02-08,3.327900,3.339700,3.301100,3.328700,3.328700,0
2017-02-09,3.329400,3.339300,3.303200,3.329700,3.329700,0
2017-02-10,3.332000,3.335100,3.294500,3.332300,3.332300,0
2017-02-13,3.310800,3.320100,3.298500,3.294500,3.294500,0
2017-02-14,3.294300,3.304000,3.272100,3.292800,3.292800,0
2017-02-15,3.257600,3.261800,3.232000,3.259200,3.259200,0
2017-02-16,3.237400,3.263200,3.223700,3.237400,3.237400,0
2017-02-17,3.290900,3.305600,3.257200,3.292700,3.292700,0
2017-02-20,3.292000,3.296500,3.257200,3.257200,3.257200,0
2017-02-21,3.271500,3.271500,3.232700,3.271200,3.271200,0
2017-02-22,3.260400,3.263600,3.223400,3.258800,3.258800,0
2017-02-23,3.229100,3.248000,3.224700,3.228500,3.228500,0
2017-02-24,3.235900,3.291800,3.232500,3.236500,3.236500,0
2017-02-27,3.220600,3.295900,3.220600,3.281800,3.281800,0
2017-02-28,3.287000,3.300700,3.265500,3.286600,3.286600,0
2017-03-01,3.280900,3.287600,3.251000,3.282400,3.282400,0
2017-03-02,3.251300,3.288600,3.248700,3.251900,3.251900,0
2017-03-03,3.313200,3.329400,3.300300,3.311600,3.311600,0
2017-03-06,3.306200,3.311700,3.270800,3.297600,3.297600,0
2017-03-07,3.316800,3.323500,3.284600,3.316000,3.316000,0
2017-03-08,3.293800,3.327100,3.269800,3.293300,3.293300,0
2017-03-09,3.330200,3.365100,3.325600,3.331700,3.331700,0
2017-03-10,3.375400,3.386400,3.345100,3.372900,3.372900,0
2017-03-13,3.346200,3.366200,3.326800,3.346200,3.346200,0
2017-03-14,3.355700,3.365300,3.344500,3.354100,3.354100,0
2017-03-15,3.355000,3.371600,3.330100,3.354700,3.354700,0
2017-03-16,3.329800,3.346600,3.314700,3.328200,3.328200,0
2017-03-17,3.356700,3.360500,3.321100,3.357500,3.357500,0
2017-03-20,3.321100,3.344000,3.305000,3.317800,3.317800,0
2017-03-21,3.295600,3.339100,3.295600,3.294000,3.294000,0
2017-03-22,3.333900,3.351800,3.323900,3.334100,3.334100,0
2017-03-23,3.325800,3.381900,3.319900,3.326500,3.326500,0
2017-03-24,3.380600,3.398200,3.360200,3.382000,3.382000,0
2017-03-27,3.352400,3.409900,3.351700,3.352400,3.352400,0
2017-03-28,3.391400,3.404300,3.368200,3.391400,3.391400,0
2017-03-29,3.368200,3.394700,3.345700,3.392500,3.392500,0
2017-03-30,3.356400,3.360400,3.326100,3.356400,3.356400,0
2017-03-31,3.361200,3.394700,3.338600,3.361200,3.361200,0
2017-04-03,3.322200,3.338600,3.302900,3.322200,3.322200,0
2017-04-04,3.318000,3.341200,3.288900,3.318000,3.318000,0
2017-04-05,3.303100,3.306000,3.280300,3.302800,3.302800,0
2017-04-06,3.327100,3.331600,3.308100,3.327100,3.327100,0
2017-04-07,3.341500,3.345900,3.312300,3.341500,3.341500,0
2017-04-10,3.327700,3.334400,3.303200,3.315900,3.315900,0
2017-04-11,3.316500,3.348100,3.300000,3.316500,3.316500,0
2017-04-12,3.325600,3.344500,3.302300,3.325600,3.325600,0
2017-04-13,3.302300,3.332300,3.299500,3.330600,3.330600,0
2017-04-14,3.333000,3.333000,3.333000,3.333000,3.333000,0
2017-04-17,3.299500,3.333000,3.299500,3.333000,3.333000,0
2017-04-18,3.299500,3.320000,3.279300,3.333000,3.333000,0
2017-04-19,3.330700,3.362100,3.308700,3.330700,3.330700,0
2017-04-20,3.370400,3.390800,3.363600,3.370400,3.370400,0
2017-04-21,3.369500,3.375900,3.344100,3.369500,3.369500,0
2017-04-24,3.344100,3.420200,3.344100,3.372300,3.372300,0
2017-04-25,3.394900,3.461900,3.376300,3.394900,3.394900,0
2017-04-26,3.437000,3.471800,3.403600,3.437000,3.437000,0
2017-04-27,3.456500,3.460500,3.432400,3.456500,3.456500,0
2017-04-28,3.453300,3.500800,3.451500,3.453300,3.453300,0
2017-05-01,3.457600,3.465700,3.450100,3.456600,3.456600,0
2017-05-02,3.461400,3.482100,3.441000,3.461400,3.461400,0
2017-05-03,3.441700,3.444700,3.415700,3.441700,3.441700,0
2017-05-04,3.440800,3.487300,3.433200,3.440800,3.440800,0
2017-05-05,3.497300,3.499700,3.472200,3.497300,3.497300,0
2017-05-08,3.472200,3.492600,3.451800,3.490900,3.490900,0
2017-05-09,3.490200,3.492000,3.456100,3.490200,3.490200,0
2017-05-10,3.469500,3.472900,3.423100,3.469500,3.469500,0
2017-05-11,3.438600,3.445900,3.416000,3.438600,3.438600,0
2017-05-12,3.408600,3.420600,3.390500,3.408600,3.408600,0
2017-05-15,3.390500,3.424400,3.390500,3.390500,3.390500,0
2017-05-16,3.410600,3.435300,3.410600,3.411200,3.411200,0
2017-05-17,3.432900,3.461900,3.415700,3.432900,3.432900,0
2017-05-18,3.494300,3.785900,3.466100,3.495800,3.495800,0
2017-05-19,3.741100,3.764700,3.656000,3.741100,3.741100,0
2017-05-22,3.737400,3.737400,3.627200,3.645100,3.645100,0
2017-05-23,3.667600,3.679300,3.646700,3.667600,3.667600,0
2017-05-24,3.652700,3.665500,3.633900,3.652700,3.652700,0
